true_value,predicted_value,duration_per_hex_char
97.0,98.80508422851562,0.010189199447631836
98.0,98.66799926757812,0.019243700163705007
1398.0,619.9002685546875,0.013025891780853272
93.0,92.98049926757812,0.01948727501763238
330.0,32.01023864746094,0.0159912109375
97.0,98.96475219726562,0.015019156038761139
55.0,71.20909881591797,0.020644333627488878
54.0,55.48411178588867,0.027159002092149522
100.0,99.67898559570312,0.025424076960637018
98.0,98.71098327636719,0.013124346733093262
199.0,198.63771057128906,0.03349436819553375
99.0,98.44564056396484,0.005718726378220778
298.0,300.6248779296875,0.009200193665244362
49.0,47.991920471191406,0.024968481063842772
98.0,99.33824157714844,0.00950862467288971
47.0,47.991920471191406,0.02826462686061859
48.0,52.82840347290039,0.03474144637584686
98.0,98.52725219726562,0.028728127479553223
98.0,101.47169494628906,0.03367871708340115
34.0,35.89728546142578,0.013965904712677002
48.0,48.80126190185547,0.03323871748788016
100.0,100.39708709716797,0.041461007935660224
92.0,92.9697265625,0.011317226621839736
199.0,196.00489807128906,0.009757757186889648
282.0,116.37127685546875,0.03584460701261248
57.0,56.93638610839844,0.0217144318989345
141.0,123.4127197265625,0.009265370990919031
1900.0,1931.7618408203125,0.017145253717899323
298.0,328.806640625,0.027979542811711628
99.0,99.60206604003906,0.0491103484080388
601.0,601.3348388671875,0.004332596308564487
49.0,47.991920471191406,0.025899505615234374
596.0,598.0603637695312,0.0325603187084198
99.0,115.13230895996094,0.01738012582063675
98.0,98.80052947998047,0.08110463619232178
69.0,50.03620529174805,0.008144725452769886
48.0,48.57451248168945,0.020471692085266113
235.0,259.8622741699219,0.02299878199895223
48.0,47.991920471191406,0.02345700263977051
216.0,202.04444885253906,0.011274716128473696
698.0,457.11126708984375,0.02343089977900187
311.0,301.3112487792969,0.021938443183898926
100.0,99.04664611816406,0.021721164385477703
55.0,64.08699798583984,0.01734471321105957
299.0,348.70050048828125,0.009018464786250418
61.0,60.13575744628906,0.027453839778900146
74.0,75.77711486816406,0.017032493244517933
198.0,205.6752166748047,0.025937768129202034
98.0,99.03333282470703,0.03644713488492099
497.0,394.9430236816406,0.009881791861160942
614.0,620.288330078125,0.009505806430693596
1398.0,1348.579833984375,0.005537424447401514
118.0,126.95903778076172,0.006227079190705952
200.0,209.78248596191406,0.016790530260871437
399.0,395.30804443359375,0.014799716075261433
